Modelo,Accuracy,Precision,Recall,F1-score,ROC-AUC
LogisticRegression Optuna (IMC ALTO),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.7639146567717996
XGBoost Optuna (IMC BAJO),0.8360655737704918,0.5,0.7,0.5833333333333334,0.8431372549019607
SVC Umbral 0.35 (sin segmentar),0.6948051948051948,0.5421686746987951,0.8333333333333334,0.656934306569343,0.8081481481481482
