Modelo,Accuracy,Precision (1),Recall (1),F1-score (1),ROC-AUC,Cohen's Kappa
Logistic Regression (Opt),0.7142857142857143,0.5675675675675675,0.7777777777777778,0.65625,0.7672222222222222,0.4218430034129693
XGBoost (Opt),0.7727272727272727,0.7567567567567568,0.5185185185185185,0.6153846153846154,0.8077777777777777,0.46196845677779985
SVC (Opt),0.7142857142857143,0.6136363636363636,0.5,0.5510204081632653,0.8181481481481482,0.34468085106382973
