Modelo,Accuracy,Precision (1),Recall (1),F1-score (1),ROC-AUC,Cohen's Kappa,Precision (macro),Recall (macro),F1-score (macro),Precision (weighted),Recall (weighted),F1-score (weighted)
Logistic Regression,0.7467532467532467,0.7027027027027027,0.48148148148148145,0.5714285714285714,0.7946296296296297,0.4004791375524056,0.7316932316932316,0.6857407407407408,0.695852534562212,0.7403527403527403,0.7467532467532467,0.733018133939793
Decision Tree,0.5974025974025974,0.4166666666666667,0.37037037037037035,0.39215686274509803,0.5451851851851851,0.0927404028886355,0.5479559748427673,0.5451851851851852,0.5455929944793452,0.5871722617005636,0.5974025974025974,0.5914245662960682
Random Forest,0.7077922077922078,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.773425925925926,0.2749529190207157,0.6916010498687664,0.6216666666666667,0.6231032794909447,0.6990489825135494,0.7077922077922078,0.6764689055437955
Gradient Boosting,0.6948051948051948,0.6129032258064516,0.35185185185185186,0.4470588235294118,0.77,0.2570314103880106,0.6641751901389982,0.615925925925926,0.6181482458454234,0.6794901924720965,0.6948051948051948,0.669252878485271
XGBoost,0.7467532467532467,0.6829268292682927,0.5185185185185185,0.5894736842105263,0.8090740740740741,0.4112919035483238,0.7264191668465357,0.6942592592592592,0.7031875463306152,0.7394103845647122,0.7467532467532467,0.7371540246262263
SVC,0.6428571428571429,0.47619047619047616,0.18518518518518517,0.26666666666666666,0.6907407407407408,0.08748114630467563,0.5726817042606516,0.5375925925925926,0.515307582260372,0.6015037593984962,0.6428571428571429,0.5895769466584918
KNeighbors,0.6753246753246753,0.625,0.18518518518518517,0.2857142857142857,0.6172222222222222,0.1493592576226248,0.6530797101449275,0.5625925925925925,0.5378151260504201,0.6614671560323735,0.6753246753246753,0.6131179744625123
GaussianNB,0.6688311688311688,0.5517241379310345,0.2962962962962963,0.3855421686746988,0.5892592592592593,0.18611398963730574,0.6238620689655172,0.5831481481481482,0.5794377510040161,0.6454097626511419,0.6688311688311688,0.6373546132582277
