Modelo,Accuracy,AUC-ROC,Precision_1,Recall_1,F1-score_1,TN,FP,FN,TP
lr_smote_total,0.6989247311827957,0.7458256029684602,0.6904761904761905,0.6590909090909091,0.6744186046511628,36,13,15,29
svc_smote_total,0.5591397849462365,0.5463821892393321,0.5714285714285714,0.2727272727272727,0.36923076923076925,40,9,32,12
xgb_smote_total,0.6021505376344086,0.6873840445269017,0.6521739130434783,0.3409090909090909,0.44776119402985076,41,8,29,15
