Modelo,Segmento,Accuracy,Recall_1,F1-score_1,AUC-ROC
lr_smote_parcial,IMC Bajo,0.8032786885245902,0.5,0.4545454545454545,0.8627450980392156
svc_smote_parcial,IMC Bajo,0.8360655737704918,0.6,0.5454545454545454,0.8980392156862744
xgb_smote_parcial,IMC Bajo,0.8688524590163934,0.7,0.6363636363636364,0.803921568627451
lr_smote_parcial,IMC Alto,0.6881720430107527,0.6363636363636364,0.6588235294117647,0.7379406307977736
svc_smote_parcial,IMC Alto,0.5376344086021505,0.2272727272727272,0.3174603174603174,0.537569573283859
xgb_smote_parcial,IMC Alto,0.6021505376344086,0.3863636363636363,0.4788732394366197,0.6781076066790352
