Modelo,Accuracy,Precision (1),Recall (1),F1-score (1),ROC-AUC,Cohen's Kappa,Precision (macro),Recall (macro),F1-score (macro),Precision (weighted),Recall (weighted),F1-score (weighted)
Logistic Regression,0.7402597402597403,0.6842105263157895,0.48148148148148145,0.5652173913043478,0.787037037037037,0.3879173290937996,0.721415607985481,0.6807407407407408,0.6900161030595813,0.7325288141985057,0.7402597402597403,0.7272936403371186
XGBoost,0.7077922077922078,0.6097560975609756,0.46296296296296297,0.5263157894736842,0.7709259259259259,0.3207214271711428,0.6765594647096913,0.6514814814814814,0.6575240919199407,0.6965137172346324,0.7077922077922078,0.6967161822610303
Random Forest,0.6948051948051948,0.6296296296296297,0.3148148148148148,0.41975308641975306,0.7827777777777778,0.24272860431052523,0.6691455234762321,0.6074074074074074,0.6063523141349867,0.680948972287555,0.6948051948051948,0.6620897457901863
Gradient Boosting,0.7142857142857143,0.7272727272727273,0.2962962962962963,0.42105263157894735,0.7918518518518518,0.2735849056603773,0.7196969696969697,0.6181481481481481,0.6156987295825771,0.7174340810704448,0.7142857142857143,0.6738397718434016
Decision Tree,0.6298701298701299,0.45161290322580644,0.25925925925925924,0.32941176470588235,0.5446296296296297,0.09895298706631073,0.5632048255966431,0.5446296296296296,0.5369031917699816,0.5965374777333865,0.6298701298701299,0.5988811505034138
GaussianNB,0.6493506493506493,0.5,0.25925925925925924,0.34146341463414637,0.617037037037037,0.13411078717201164,0.5912698412698413,0.5596296296296296,0.5512626807684006,0.6185322613894042,0.6493506493506493,0.6139299940292817
SVC,0.6558441558441559,0.5263157894736842,0.18518518518518517,0.273972602739726,0.7218518518518517,0.111860718171926,0.6001949317738791,0.5475925925925926,0.5242203439230545,0.6222627275258854,0.6558441558441559,0.5989696692115812
KNeighbors,0.6428571428571429,0.47619047619047616,0.18518518518518517,0.26666666666666666,0.616388888888889,0.08748114630467563,0.5726817042606516,0.5375925925925926,0.515307582260372,0.6015037593984962,0.6428571428571429,0.5895769466584918
