Modelo,Accuracy,Precision (1),Recall (1),F1-score (1),ROC-AUC,Cohen's Kappa,Precision (macro),Recall (macro),F1-score (macro),Precision (weighted),Recall (weighted),F1-score (weighted)
GaussianNB,0.6883116883116883,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7096296296296296,0.3155555555555555,0.6577777777777778,0.6577777777777778,0.6577777777777778,0.6883116883116883,0.6883116883116883,0.6883116883116883
XGBoost,0.7467532467532467,0.6829268292682927,0.5185185185185185,0.5894736842105263,0.8090740740740741,0.4112919035483238,0.7264191668465357,0.6942592592592592,0.7031875463306152,0.7394103845647122,0.7467532467532467,0.7371540246262263
Logistic Regression,0.7012987012987013,0.5869565217391305,0.5,0.54,0.8027777777777778,0.3209355828220859,0.6684782608695652,0.655,0.6594230769230769,0.6928289102202145,0.7012987012987013,0.6950949050949051
SVC,0.7142857142857143,0.65625,0.3888888888888889,0.4883720930232558,0.762962962962963,0.3077237433592154,0.6928790983606558,0.6394444444444445,0.6450869474125288,0.7038202576112412,0.7142857142857143,0.6918978779443896
KNeighbors,0.7077922077922078,0.6451612903225806,0.37037037037037035,0.47058823529411764,0.7157407407407408,0.28864709505235064,0.6843692630474691,0.6301851851851852,0.6343972566605117,0.6960807354198384,0.7077922077922078,0.6833272240816424
Decision Tree,0.5974025974025974,0.41304347826086957,0.35185185185185186,0.38,0.5409259259259259,0.08473926380368102,0.5444847020933977,0.5409259259259259,0.5409615384615385,0.583746366355062,0.5974025974025974,0.589040959040959
Gradient Boosting,0.6948051948051948,0.6129032258064516,0.35185185185185186,0.4470588235294118,0.7701851851851852,0.2570314103880106,0.6641751901389982,0.615925925925926,0.6181482458454234,0.6794901924720965,0.6948051948051948,0.669252878485271
Random Forest,0.7077922077922078,0.68,0.3148148148148148,0.43037974683544306,0.7749074074074075,0.2679061905768011,0.6965891472868218,0.6174074074074074,0.6169365983085512,0.7015443471257425,0.7077922077922078,0.6726613721251938
