Modelo,Accuracy,Recall (1),F1-score (1),ROC-AUC
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
LogisticRegression Optuna + SMOTE Total (IMC Alto),0.6989247311827957,0.6818181818181818,0.6818181818181818,0.7639146567717996
