Modelo,Accuracy (V1),Recall (1) (V1),F1-score (1) (V1),ROC-AUC (V1),Accuracy (V2),Recall (1) (V2),F1-score (1) (V2),ROC-AUC (V2)
Logistic Regression,0.7467532467532467,0.4814814814814814,0.5714285714285714,0.7946296296296297,0.7012987012987013,0.5,0.54,0.8027777777777778
Decision Tree,0.5974025974025974,0.3703703703703703,0.392156862745098,0.5451851851851851,0.5974025974025974,0.3518518518518518,0.38,0.5409259259259259
Random Forest,0.7077922077922078,0.3333333333333333,0.4444444444444444,0.773425925925926,0.7077922077922078,0.3148148148148148,0.430379746835443,0.7749074074074075
Gradient Boosting,0.6948051948051948,0.3518518518518518,0.4470588235294118,0.77,0.6948051948051948,0.3518518518518518,0.4470588235294118,0.7701851851851852
XGBoost,0.7467532467532467,0.5185185185185185,0.5894736842105263,0.8090740740740741,0.7467532467532467,0.5185185185185185,0.5894736842105263,0.8090740740740741
SVC,0.6428571428571429,0.1851851851851851,0.2666666666666666,0.6907407407407408,0.7142857142857143,0.3888888888888889,0.4883720930232558,0.762962962962963
KNeighbors,0.6753246753246753,0.1851851851851851,0.2857142857142857,0.6172222222222222,0.7077922077922078,0.3703703703703703,0.4705882352941176,0.7157407407407408
GaussianNB,0.6688311688311688,0.2962962962962963,0.3855421686746988,0.5892592592592593,0.6883116883116883,0.5555555555555556,0.5555555555555556,0.7096296296296296
