Modelo,Segmento,Accuracy,Recall_1,F1-score_1,AUC-ROC
lr_smote_total,IMC Bajo,0.819672131147541,0.6,0.5217391304347826,0.8627450980392157
svc_smote_total,IMC Bajo,0.8360655737704918,0.6,0.5454545454545454,0.896078431372549
xgb_smote_total,IMC Bajo,0.8524590163934426,0.7,0.6086956521739131,0.8176470588235294
lr_smote_total,IMC Alto,0.6989247311827957,0.6590909090909091,0.6744186046511628,0.7458256029684602
svc_smote_total,IMC Alto,0.5591397849462365,0.2727272727272727,0.3692307692307692,0.5463821892393321
xgb_smote_total,IMC Alto,0.6021505376344086,0.3409090909090909,0.4477611940298507,0.6873840445269017
