Modelo,Segmento,Accuracy,Recall_1,F1-score_1,AUC-ROC
lr,IMC Bajo,0.819672131147541,0.4,0.4210526315789473,0.8254901960784313
svc,IMC Bajo,0.819672131147541,0.6,0.5217391304347826,0.8764705882352941
xgb,IMC Bajo,0.8688524590163934,0.7,0.6363636363636364,0.788235294117647
lr_classweight,IMC Alto,0.6989247311827957,0.6590909090909091,0.6744186046511628,0.7333024118738405
svc_classweight,IMC Alto,0.5591397849462365,0.2727272727272727,0.3692307692307692,0.5398886827458256
xgb_classweight,IMC Alto,0.6666666666666666,0.4318181818181818,0.5507246376811594,0.703617810760668
